business_postal_code_1,inspection_id,inspection_date,inspection_score,violation_description,risk_category,neighborhoods,Current Police Districts,population,avg_income
94133,835_20180917,September,88,Improper food storage,Low Risk,107,6,"26,827","$40,990.00 "
94108,905_20190415,April,87,High risk vermin infestation,High Risk,19,6,"13,716","$31,542.00 "
94118,1203_20170803,August,77,Moderate risk food holding temperature,Moderate Risk,5,8,"38,939","$61,609.00 "
94109,1345_20170928,September,81,Improper cooling methods,High Risk,105,4,"56,322","$43,444.00 "
94114,1352_20180620,June,74,Non service animal,Low Risk,38,3,"30,574","$75,727.00 "
94105,1652_20190611,June,96,Low risk vermin infestation,Low Risk,32,1,"2,058","$88,976.00 "
94102,3019_20190702,July,88,Improper food storage,Low Risk,19,6,"28,991","$22,351.00 "
94109,3286_20190214,February,81,Improper cooling methods,High Risk,50,4,"56,322","$43,444.00 "
94117,4900_20171116,November,94,Other low risk violation,Low Risk,24,7,"38,758","$63,983.00 "
94114,7211_20181001,October,86,Food in poor condition,Moderate Risk,115,3,"30,574","$75,727.00 "
94110,7489_20180710,July,94,Improper thawing methods,Moderate Risk,53,3,"74,633","$53,795.00 "
94105,34411_20190913,September,98,Improper food storage,Low Risk,30,1,"2,058","$88,976.00 "
94117,36758_20161214,December,86,Other low risk violation,Low Risk,26,4,"38,758","$63,983.00 "
94118,37060_20190507,May,85,Unclean nonfood contact surfaces,Low Risk,5,8,"38,939","$61,609.00 "
94127,38798_20170928,September,94,Improper or defective plumbing,Low Risk,95,9,"20,624","$95,313.00 "
94115,66220_20190418,April,86,Low risk vermin infestation,Low Risk,101,4,"33,115","$54,879.00 "
94105,67510_20190829,August,77,Improper or defective plumbing,Low Risk,32,1,"2,058","$88,976.00 "
94105,67510_20180221,February,79,Low risk vermin infestation,Low Risk,32,1,"2,058","$88,976.00 "
94110,36348_20191002,October,77,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94114,1289_20161206,December,94,Foods not protected from contamination,Moderate Risk,115,3,"30,574","$75,727.00 "
94102,4868_20170706,July,90,Improper storage of equipment utensils or linens,Low Risk,22,4,"28,991","$22,351.00 "
94105,409_20170627,June,83,Unapproved or unmaintained equipment or utensils,Low Risk,32,1,"2,058","$88,976.00 "
94102,35565_20170905,September,87,Inadequate and inaccessible handwashing facilities,Moderate Risk,20,5,"28,991","$22,351.00 "
94116,60518_20170824,August,78,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,40,10,"42,958","$66,627.00 "
94105,64454_20190625,June,80,Improper cooling methods,High Risk,108,6,"2,058","$88,976.00 "
94102,60355_20170927,September,88,Foods not protected from contamination,Moderate Risk,20,5,"28,991","$22,351.00 "
94122,510_20161109,November,87,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94115,73_20171129,November,88,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,102,4,"33,115","$54,879.00 "
94110,7772_20190108,January,84,Unapproved or unmaintained equipment or utensils,Low Risk,53,3,"74,633","$53,795.00 "
94103,59934_20180212,February,92,Foods not protected from contamination,Moderate Risk,32,1,"23,016","$31,131.00 "
94110,59044_20180122,January,78,Inadequate and inaccessible handwashing facilities,Moderate Risk,53,3,"74,633","$53,795.00 "
94132,2841_20170818,August,94,Unapproved or unmaintained equipment or utensils,Low Risk,43,10,"26,291","$55,000.00 "
94115,3046_20170505,May,94,Improper storage of equipment utensils or linens,Low Risk,103,4,"33,115","$54,879.00 "
94103,3838_20180222,February,72,Moderate risk food holding temperature,Moderate Risk,37,3,"23,016","$31,131.00 "
94103,2995_20190305,March,85,Moderate risk vermin infestation,Moderate Risk,32,1,"23,016","$31,131.00 "
94112,38258_20190108,January,68,High risk vermin infestation,High Risk,90,9,"73,104","$57,629.00 "
94102,6636_20180417,April,88,Low risk vermin infestation,Low Risk,21,5,"28,991","$22,351.00 "
94121,17947_20190618,June,87,Unapproved or unmaintained equipment or utensils,Low Risk,8,8,"42,473","$61,776.00 "
94124,30532_20190925,September,78,High risk food holding temperature,High Risk,86,2,"33,170","$37,146.00 "
94102,63503_20180604,June,96,Unclean or degraded floors walls or ceilings,Low Risk,20,5,"28,991","$22,351.00 "
94110,1300_20171005,October,74,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94108,4608_20170801,August,94,Unclean or degraded floors walls or ceilings,Low Risk,104,6,"13,716","$31,542.00 "
94102,1742_20170214,February,83,Improper or defective plumbing,Low Risk,21,5,"28,991","$22,351.00 "
94116,4844_20170829,August,94,Moderate risk food holding temperature,Moderate Risk,44,10,"42,958","$66,627.00 "
94111,786_20190215,February,96,Improper or defective plumbing,Low Risk,77,6,"3,335","$56,569.00 "
94116,985_20180924,September,75,Foods not protected from contamination,Moderate Risk,39,10,"42,958","$66,627.00 "
94107,58745_20170112,January,85,Unclean or unsanitary food contact surfaces,High Risk,32,1,"17,368","$61,362.00 "
94104,2919_20190501,May,94,Improper or defective plumbing,Low Risk,108,6,374,"$14,609.00 "
94104,3006_20171026,October,90,Moderate risk food holding temperature,Moderate Risk,108,6,374,"$14,609.00 "
94118,557_20180905,September,83,Unclean or unsanitary food contact surfaces,High Risk,5,8,"38,939","$61,609.00 "
94112,6677_20170711,July,94,Improper or defective plumbing,Low Risk,90,9,"73,104","$57,629.00 "
94103,1664_20190822,August,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,5,"23,016","$31,131.00 "
94102,3796_20170417,April,90,No thermometers or uncalibrated thermometers,Low Risk,19,5,"28,991","$22,351.00 "
94103,61514_20180425,April,88,Inadequate and inaccessible handwashing facilities,Moderate Risk,53,3,"23,016","$31,131.00 "
94133,6739_20161220,December,86,Inadequate and inaccessible handwashing facilities,Moderate Risk,104,6,"26,827","$40,990.00 "
94124,5267_20190717,July,96,Improper storage of equipment utensils or linens,Low Risk,76,2,"33,170","$37,146.00 "
94104,1582_20171128,November,79,Improper cooling methods,High Risk,108,6,374,"$14,609.00 "
94110,32671_20180508,May,75,Foods not protected from contamination,Moderate Risk,53,3,"74,633","$53,795.00 "
94112,58922_20170913,September,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,58,9,"73,104","$57,629.00 "
94121,3165_20181127,November,83,Unapproved or unmaintained equipment or utensils,Low Risk,8,8,"42,473","$61,776.00 "
94107,2145_20180517,May,87,Inadequate dressing rooms or improper storage of personal items,Low Risk,32,1,"17,368","$61,362.00 "
94103,8948_20180208,February,88,Unapproved or unmaintained equipment or utensils,Low Risk,19,6,"23,016","$31,131.00 "
94110,2334_20190509,May,81,Food safety certificate or food handler card not available,Low Risk,53,3,"74,633","$53,795.00 "
94108,57698_20190829,August,87,Low risk vermin infestation,Low Risk,19,6,"13,716","$31,542.00 "
94114,943_20180426,April,76,Inadequate and inaccessible handwashing facilities,Moderate Risk,28,7,"30,574","$75,727.00 "
94110,4874_20170815,August,88,Unclean nonfood contact surfaces,Low Risk,52,3,"74,633","$53,795.00 "
94103,59577_20190206,February,73,Improper cooling methods,High Risk,32,5,"23,016","$31,131.00 "
94133,884_20161005,October,83,Improper food storage,Low Risk,104,6,"26,827","$40,990.00 "
94109,2336_20180227,February,86,Noncompliance with shell fish tags or display,Moderate Risk,105,4,"56,322","$43,444.00 "
94112,1426_20161026,October,70,Inadequate procedures or records for time as a public health control,Moderate Risk,94,9,"73,104","$57,629.00 "
